tick,sim_min,ev0_soc_pct,ev1_soc_pct,ev2_soc_pct,ev3_soc_pct,ev4_soc_pct,mean_soc_pct,total_power_kw,bus2_voltage_pu,trafo_loading_pct,line_loading_pct,cmd,bursts,cumulative_higher,cumulative_lower,grid_stress
47,3.13,21.83,31.83,41.83,51.83,61.83,41.83,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
48,3.20,21.87,31.87,41.87,51.87,61.87,41.87,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
49,3.27,21.91,31.91,41.91,51.91,61.91,41.91,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
50,3.33,21.95,31.95,41.95,51.95,61.95,41.95,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
51,3.40,21.99,31.99,41.99,51.99,61.99,41.99,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
52,3.47,22.03,32.03,42.03,52.03,62.03,42.03,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
53,3.53,22.07,32.07,42.07,52.07,62.07,42.07,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
54,3.60,22.11,32.11,42.11,52.11,62.11,42.11,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
55,3.67,22.15,32.15,42.15,52.15,62.15,42.15,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
56,3.73,22.19,32.19,42.19,52.19,62.19,42.19,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
57,3.80,22.23,32.23,42.23,52.23,62.23,42.23,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
58,3.87,22.28,32.28,42.28,52.28,62.28,42.28,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
59,3.93,22.32,32.32,42.32,52.32,62.32,42.32,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
60,4.00,22.36,32.36,42.36,52.36,62.36,42.36,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
61,4.07,22.40,32.40,42.40,52.40,62.40,42.40,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
62,4.13,22.44,32.44,42.44,52.44,62.44,42.44,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
63,4.20,22.48,32.48,42.48,52.48,62.48,42.48,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
64,4.27,22.52,32.52,42.52,52.52,62.52,42.52,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
65,4.33,22.56,32.56,42.56,52.56,62.56,42.56,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
66,4.40,22.60,32.60,42.60,52.60,62.60,42.60,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
67,4.47,22.64,32.64,42.64,52.64,62.64,42.64,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
68,4.53,22.68,32.68,42.68,52.68,62.68,42.68,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
69,4.60,22.73,32.73,42.73,52.73,62.73,42.73,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
70,4.67,22.77,32.77,42.77,52.77,62.77,42.77,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
71,4.73,22.81,32.81,42.81,52.81,62.81,42.81,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
72,4.80,22.85,32.85,42.85,52.85,62.85,42.85,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
73,4.87,22.89,32.89,42.89,52.89,62.89,42.89,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
74,4.93,22.93,32.93,42.93,52.93,62.93,42.93,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
75,5.00,22.97,32.97,42.97,52.97,62.97,42.97,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
76,5.07,23.01,33.01,43.01,53.01,63.01,43.01,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
77,5.13,23.05,33.05,43.05,53.05,63.05,43.05,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
78,5.20,23.09,33.09,43.09,53.09,63.09,43.09,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
79,5.27,23.13,33.13,43.13,53.13,63.13,43.13,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
80,5.33,23.18,33.18,43.18,53.18,63.18,43.18,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
81,5.40,23.22,33.22,43.22,53.22,63.22,43.22,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
82,5.47,23.26,33.26,43.26,53.26,63.26,43.26,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
83,5.53,23.30,33.30,43.30,53.30,63.30,43.30,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
84,5.60,23.34,33.34,43.34,53.34,63.34,43.34,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
85,5.67,23.38,33.38,43.38,53.38,63.38,43.38,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
86,5.73,23.42,33.42,43.42,53.42,63.42,43.42,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
87,5.80,23.46,33.46,43.46,53.46,63.46,43.46,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
88,5.87,23.50,33.50,43.50,53.50,63.50,43.50,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
89,5.93,23.54,33.54,43.54,53.54,63.54,43.54,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
90,6.00,23.58,33.58,43.58,53.58,63.58,43.58,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
91,6.07,23.63,33.63,43.63,53.63,63.63,43.63,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
92,6.13,23.67,33.67,43.67,53.67,63.67,43.67,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
93,6.20,23.71,33.71,43.71,53.71,63.71,43.71,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
94,6.27,23.75,33.75,43.75,53.75,63.75,43.75,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
95,6.33,23.79,33.79,43.79,53.79,63.79,43.79,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
96,6.40,23.83,33.83,43.83,53.83,63.83,43.83,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
97,6.47,23.87,33.87,43.87,53.87,63.87,43.87,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
98,6.53,23.91,33.91,43.91,53.91,63.91,43.91,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
99,6.60,23.95,33.95,43.95,53.95,63.95,43.95,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
100,6.67,23.99,33.99,43.99,53.99,63.99,43.99,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
101,6.73,24.03,34.03,44.03,54.03,64.03,44.03,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
102,6.80,24.08,34.08,44.08,54.08,64.08,44.08,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
103,6.87,24.12,34.12,44.12,54.12,64.12,44.12,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
104,6.93,24.16,34.16,44.16,54.16,64.16,44.16,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
105,7.00,24.20,34.20,44.20,54.20,64.20,44.20,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
106,7.07,24.24,34.24,44.24,54.24,64.24,44.24,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
107,7.13,24.28,34.28,44.28,54.28,64.28,44.28,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
108,7.20,24.32,34.32,44.32,54.32,64.32,44.32,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
109,7.27,24.36,34.36,44.36,54.36,64.36,44.36,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
110,7.33,24.40,34.40,44.40,54.40,64.40,44.40,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
111,7.40,24.44,34.44,44.44,54.44,64.44,44.44,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
112,7.47,24.48,34.48,44.48,54.48,64.48,44.48,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
113,7.53,24.53,34.53,44.53,54.53,64.53,44.53,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
114,7.60,24.57,34.57,44.57,54.57,64.57,44.57,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
115,7.67,24.61,34.61,44.61,54.61,64.61,44.61,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
116,7.73,24.65,34.65,44.65,54.65,64.65,44.65,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
117,7.80,24.69,34.69,44.69,54.69,64.69,44.69,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
118,7.87,24.73,34.73,44.73,54.73,64.73,44.73,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
119,7.93,24.77,34.77,44.77,54.77,64.77,44.77,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
120,8.00,24.81,34.81,44.81,54.81,64.81,44.81,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
121,8.07,24.85,34.85,44.85,54.85,64.85,44.85,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
122,8.13,24.89,34.89,44.89,54.89,64.89,44.89,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
123,8.20,24.93,34.93,44.93,54.93,64.93,44.93,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
124,8.27,24.98,34.98,44.98,54.98,64.98,44.98,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
125,8.33,25.02,35.02,45.02,55.02,65.02,45.02,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
126,8.40,25.06,35.06,45.06,55.06,65.06,45.06,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
127,8.47,25.10,35.10,45.10,55.10,65.10,45.10,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
128,8.53,25.14,35.14,45.14,55.14,65.14,45.14,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
129,8.60,25.18,35.18,45.18,55.18,65.18,45.18,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
130,8.67,25.22,35.22,45.22,55.22,65.22,45.22,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
131,8.73,25.26,35.26,45.26,55.26,65.26,45.26,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
132,8.80,25.30,35.30,45.30,55.30,65.30,45.30,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
133,8.87,25.34,35.34,45.34,55.34,65.34,45.34,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
134,8.93,25.39,35.39,45.39,55.39,65.39,45.39,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
135,9.00,25.43,35.43,45.43,55.43,65.43,45.43,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
136,9.07,25.47,35.47,45.47,55.47,65.47,45.47,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
137,9.13,25.51,35.51,45.51,55.51,65.51,45.51,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
138,9.20,25.55,35.55,45.55,55.55,65.55,45.55,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
139,9.27,25.59,35.59,45.59,55.59,65.59,45.59,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
140,9.33,25.63,35.63,45.63,55.63,65.63,45.63,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
141,9.40,25.67,35.67,45.67,55.67,65.67,45.67,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
142,9.47,25.71,35.71,45.71,55.71,65.71,45.71,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
143,9.53,25.75,35.75,45.75,55.75,65.75,45.75,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
144,9.60,25.79,35.79,45.79,55.79,65.79,45.79,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
145,9.67,25.84,35.84,45.84,55.84,65.84,45.84,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
146,9.73,25.88,35.88,45.88,55.88,65.88,45.88,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
147,9.80,25.92,35.92,45.92,55.92,65.92,45.92,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
148,9.87,25.96,35.96,45.96,55.96,65.96,45.96,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
149,9.93,26.00,36.00,46.00,56.00,66.00,46.00,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
150,10.00,26.04,36.04,46.04,56.04,66.04,46.04,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
151,10.07,26.08,36.08,46.08,56.08,66.08,46.08,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
152,10.13,26.12,36.12,46.12,56.12,66.12,46.12,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
153,10.20,26.16,36.16,46.16,56.16,66.16,46.16,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
154,10.27,26.20,36.20,46.20,56.20,66.20,46.20,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
155,10.33,26.24,36.24,46.24,56.24,66.24,46.24,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
156,10.40,26.29,36.29,46.29,56.29,66.29,46.29,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
157,10.47,26.33,36.33,46.33,56.33,66.33,46.33,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
158,10.53,26.37,36.37,46.37,56.37,66.37,46.37,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
159,10.60,26.41,36.41,46.41,56.41,66.41,46.41,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
160,10.67,26.45,36.45,46.45,56.45,66.45,46.45,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
161,10.73,26.49,36.49,46.49,56.49,66.49,46.49,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
162,10.80,26.53,36.53,46.53,56.53,66.53,46.53,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
163,10.87,26.57,36.57,46.57,56.57,66.57,46.57,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
164,10.93,26.61,36.61,46.61,56.61,66.61,46.61,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
165,11.00,26.65,36.65,46.65,56.65,66.65,46.65,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
166,11.07,26.69,36.69,46.69,56.69,66.69,46.69,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
167,11.13,26.74,36.74,46.74,56.74,66.74,46.74,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
168,11.20,26.78,36.78,46.78,56.78,66.78,46.78,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
169,11.27,26.82,36.82,46.82,56.82,66.82,46.82,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
170,11.33,26.86,36.86,46.86,56.86,66.86,46.86,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
171,11.40,26.90,36.90,46.90,56.90,66.90,46.90,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
172,11.47,26.94,36.94,46.94,56.94,66.94,46.94,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
173,11.53,26.98,36.98,46.98,56.98,66.98,46.98,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
174,11.60,27.02,37.02,47.02,57.02,67.02,47.02,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
175,11.67,27.06,37.06,47.06,57.06,67.06,47.06,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
176,11.73,27.10,37.10,47.10,57.10,67.10,47.10,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
177,11.80,27.14,37.14,47.14,57.14,67.14,47.14,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
178,11.87,27.19,37.19,47.19,57.19,67.19,47.19,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
179,11.93,27.23,37.23,47.23,57.23,67.23,47.23,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
180,12.00,27.27,37.27,47.27,57.27,67.27,47.27,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
181,12.07,27.31,37.31,47.31,57.31,67.31,47.31,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
182,12.13,27.35,37.35,47.35,57.35,67.35,47.35,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
183,12.20,27.39,37.39,47.39,57.39,67.39,47.39,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
184,12.27,27.43,37.43,47.43,57.43,67.43,47.43,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
185,12.33,27.47,37.47,47.47,57.47,67.47,47.47,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
186,12.40,27.51,37.51,47.51,57.51,67.51,47.51,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
187,12.47,27.55,37.55,47.55,57.55,67.55,47.55,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
188,12.53,27.59,37.59,47.59,57.59,67.59,47.59,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
189,12.60,27.64,37.64,47.64,57.64,67.64,47.64,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
190,12.67,27.68,37.68,47.68,57.68,67.68,47.68,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
191,12.73,27.72,37.72,47.72,57.72,67.72,47.72,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
192,12.80,27.76,37.76,47.76,57.76,67.76,47.76,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
193,12.87,27.80,37.80,47.80,57.80,67.80,47.80,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
194,12.93,27.84,37.84,47.84,57.84,67.84,47.84,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
195,13.00,27.88,37.88,47.88,57.88,67.88,47.88,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
196,13.07,27.92,37.92,47.92,57.92,67.92,47.92,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
197,13.13,27.96,37.96,47.96,57.96,67.96,47.96,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
198,13.20,28.00,38.00,48.00,58.00,68.00,48.00,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
199,13.27,28.04,38.04,48.04,58.04,68.04,48.04,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
200,13.33,28.09,38.09,48.09,58.09,68.09,48.09,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
201,13.40,28.13,38.13,48.13,58.13,68.13,48.13,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
202,13.47,28.17,38.17,48.17,58.17,68.17,48.17,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
203,13.53,28.21,38.21,48.21,58.21,68.21,48.21,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
204,13.60,28.25,38.25,48.25,58.25,68.25,48.25,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
205,13.67,28.29,38.29,48.29,58.29,68.29,48.29,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
206,13.73,28.33,38.33,48.33,58.33,68.33,48.33,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
207,13.80,28.37,38.37,48.37,58.37,68.37,48.37,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
208,13.87,28.41,38.41,48.41,58.41,68.41,48.41,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
209,13.93,28.45,38.45,48.45,58.45,68.45,48.45,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
210,14.00,28.49,38.49,48.49,58.49,68.49,48.49,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
211,14.07,28.54,38.54,48.54,58.54,68.54,48.54,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
212,14.13,28.58,38.58,48.58,58.58,68.58,48.58,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
213,14.20,28.62,38.62,48.62,58.62,68.62,48.62,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
214,14.27,28.66,38.66,48.66,58.66,68.66,48.66,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
215,14.33,28.70,38.70,48.70,58.70,68.70,48.70,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
216,14.40,28.74,38.74,48.74,58.74,68.74,48.74,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
217,14.47,28.78,38.78,48.78,58.78,68.78,48.78,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
218,14.53,28.82,38.82,48.82,58.82,68.82,48.82,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
219,14.60,28.86,38.86,48.86,58.86,68.86,48.86,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
220,14.67,28.90,38.90,48.90,58.90,68.90,48.90,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
221,14.73,28.94,38.94,48.94,58.94,68.94,48.94,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
222,14.80,28.99,38.99,48.99,58.99,68.99,48.99,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
223,14.87,29.03,39.03,49.03,59.03,69.03,49.03,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
224,14.93,29.07,39.07,49.07,59.07,69.07,49.07,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
225,15.00,29.11,39.11,49.11,59.11,69.11,49.11,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
226,15.07,29.15,39.15,49.15,59.15,69.15,49.15,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
227,15.13,29.19,39.19,49.19,59.19,69.19,49.19,155.000,0.9679,47.77,76.70,HOLD,0,0,14,0
