cycle,soh_pct,throughput_kwh,efc,energy_in_kwh,energy_out_kwh,peak_temp_c,end_temp_c
1,99.9694,50.503,0.3061,50.503,0.0,27.5,27.31
2,99.9388,100.99,0.6121,50.487,0.0,27.5,27.3
3,99.9082,151.461,0.9179,50.472,0.0,27.5,27.29
4,99.8776,201.917,1.2237,50.456,0.0,27.5,27.28
5,99.8471,252.358,1.5294,50.441,0.0,27.5,27.28
6,99.8165,302.775,1.835,50.417,0.0,27.5,27.5
7,99.7859,353.185,2.1405,50.41,0.0,27.5,27.5
8,99.7554,403.579,2.4459,50.394,0.0,27.5,27.49
9,99.7249,453.958,2.7513,50.379,0.0,27.5,27.48
10,99.6944,504.322,3.0565,50.364,0.0,27.5,27.47
11,99.6638,554.67,3.3616,50.348,0.0,27.5,27.46
12,99.6333,605.003,3.6667,50.333,0.0,27.5,27.45
13,99.6028,655.32,3.9716,50.317,0.0,27.5,27.44
14,99.5724,705.622,4.2765,50.302,0.0,27.5,27.43
15,99.5419,755.909,4.5813,50.287,0.0,27.5,27.43
16,99.5114,806.18,4.8859,50.271,0.0,27.5,27.42
17,99.4809,856.436,5.1905,50.256,0.0,27.5,27.41
18,99.4505,906.676,5.495,50.24,0.0,27.5,27.4
19,99.4201,956.901,5.7994,50.225,0.0,27.5,27.39
20,99.3896,1007.111,6.1037,50.21,0.0,27.5,27.38
21,99.3592,1057.305,6.4079,50.194,0.0,27.5,27.37
22,99.3288,1107.484,6.712,50.179,0.0,27.5,27.36
23,99.2984,1157.647,7.016,50.164,0.0,27.5,27.36
24,99.268,1207.796,7.32,50.148,0.0,27.5,27.35
25,99.2376,1257.928,7.6238,50.133,0.0,27.5,27.34
26,99.2072,1308.046,7.9276,50.118,0.0,27.5,27.33
27,99.1769,1358.148,8.2312,50.102,0.0,27.5,27.32
28,99.1465,1408.235,8.5348,50.087,0.0,27.5,27.31
29,99.1162,1458.306,8.8382,50.072,0.0,27.5,27.3
30,99.0858,1508.363,9.1416,50.056,0.0,27.5,27.29
31,99.0555,1558.404,9.4449,50.041,0.0,27.5,27.29
32,99.0252,1608.429,9.7481,50.026,0.0,27.5,27.28
33,98.9949,1658.429,10.0511,50.0,0.0,27.5,27.5
34,98.9646,1708.424,10.3541,49.995,0.0,27.5,27.5
35,98.9343,1758.404,10.657,49.98,0.0,27.5,27.49
36,98.904,1808.368,10.9598,49.964,0.0,27.5,27.48
37,98.8737,1858.317,11.2625,49.949,0.0,27.5,27.47
38,98.8435,1908.251,11.5652,49.934,0.0,27.5,27.46
39,98.8132,1958.169,11.8677,49.918,0.0,27.5,27.45
40,98.783,2008.072,12.1701,49.903,0.0,27.5,27.44
41,98.7528,2057.96,12.4725,49.888,0.0,27.5,27.44
42,98.7225,2107.833,12.7747,49.873,0.0,27.5,27.43
43,98.6923,2157.69,13.0769,49.857,0.0,27.5,27.42
44,98.6621,2207.532,13.379,49.842,0.0,27.5,27.41
45,98.6319,2257.359,13.681,49.827,0.0,27.5,27.4
46,98.6017,2307.171,13.9829,49.812,0.0,27.5,27.39
47,98.5715,2356.967,14.2847,49.796,0.0,27.5,27.38
48,98.5414,2406.748,14.5864,49.781,0.0,27.5,27.38
49,98.5112,2456.514,14.888,49.766,0.0,27.5,27.37
50,98.4811,2506.265,15.1895,49.751,0.0,27.5,27.36
51,98.4509,2556.0,15.4909,49.735,0.0,27.5,27.35
52,98.4208,2605.721,15.7922,49.72,0.0,27.5,27.34
53,98.3907,2655.426,16.0935,49.705,0.0,27.5,27.33
54,98.3605,2705.115,16.3946,49.69,0.0,27.5,27.32
55,98.3304,2754.79,16.6957,49.675,0.0,27.5,27.31
56,98.3003,2804.449,16.9967,49.659,0.0,27.5,27.31
57,98.2702,2854.094,17.2975,49.644,0.0,27.5,27.3
58,98.2402,2903.722,17.5983,49.629,0.0,27.5,27.29
59,98.2101,2953.336,17.899,49.614,0.0,27.5,27.28
60,98.18,3002.92,18.1995,49.583,0.0,27.5,27.5
61,98.15,3052.503,18.5,49.583,0.0,27.5,27.5
62,98.12,3102.071,18.8004,49.568,0.0,27.5,27.49
63,98.0899,3151.624,19.1008,49.553,0.0,27.5,27.48
64,98.0599,3201.162,19.401,49.538,0.0,27.5,27.47
65,98.0299,3250.685,19.7011,49.523,0.0,27.5,27.47
66,97.9999,3300.192,20.0012,49.508,0.0,27.5,27.46
67,97.9699,3349.685,20.3011,49.492,0.0,27.5,27.45
68,97.9399,3399.162,20.601,49.477,0.0,27.5,27.44
69,97.9099,3448.624,20.9008,49.462,0.0,27.5,27.43
70,97.88,3498.071,21.2004,49.447,0.0,27.5,27.42
71,97.85,3547.503,21.5,49.432,0.0,27.5,27.41
72,97.82,3596.92,21.7995,49.417,0.0,27.5,27.4
73,97.7901,3646.322,22.0989,49.402,0.0,27.5,27.4
74,97.7602,3695.708,22.3982,49.386,0.0,27.5,27.39
75,97.7303,3745.079,22.6975,49.371,0.0,27.5,27.38
76,97.7003,3794.436,22.9966,49.356,0.0,27.5,27.37
77,97.6704,3843.777,23.2956,49.341,0.0,27.5,27.36
78,97.6405,3893.103,23.5946,49.326,0.0,27.5,27.35
79,97.6107,3942.414,23.8934,49.311,0.0,27.5,27.34
80,97.5808,3991.71,24.1922,49.296,0.0,27.5,27.34
81,97.5509,4040.99,24.4909,49.281,0.0,27.5,27.33
82,97.5211,4090.256,24.7894,49.266,0.0,27.5,27.32
83,97.4912,4139.507,25.0879,49.251,0.0,27.5,27.31
84,97.4614,4188.742,25.3863,49.236,0.0,27.5,27.3
85,97.4315,4237.963,25.6846,49.22,0.0,27.5,27.29
86,97.4017,4287.168,25.9828,49.205,0.0,27.5,27.28
87,97.3719,4336.358,26.281,49.19,0.0,27.5,27.28
88,97.3421,4385.525,26.5789,49.167,0.0,27.5,27.5
89,97.3123,4434.685,26.8769,49.16,0.0,27.5,27.5
90,97.2825,4483.831,27.1747,49.145,0.0,27.5,27.49
91,97.2528,4532.961,27.4725,49.13,0.0,27.5,27.48
92,97.223,4582.076,27.7702,49.115,0.0,27.5,27.47
93,97.1932,4631.176,28.0677,49.1,0.0,27.5,27.46
94,97.1635,4680.261,28.3652,49.085,0.0,27.5,27.45
95,97.1337,4729.331,28.6626,49.07,0.0,27.5,27.44
96,97.104,4778.386,28.9599,49.055,0.0,27.5,27.44
97,97.0743,4827.426,29.2571,49.04,0.0,27.5,27.43
98,97.0446,4876.451,29.5542,49.025,0.0,27.5,27.42
99,97.0149,4925.461,29.8513,49.01,0.0,27.5,27.41
100,96.9852,4974.456,30.1482,48.995,0.0,27.5,27.4
